Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
A Multiple Compiler Framework for&#xa0;Improved Performance,Languages and Compilers for Parallel Computing,,,,10.1007/978-3-032-02436-7_12,Aniket ShivamAlexandru NicolauAlexander V. Veidenbaum,2026,https://link.springer.com/chapter/10.1007/978-3-032-02436-7_12,Conference paper
Least Information Redundancy Algorithm of&#xa0;Printable Shellcode Encoding for&#xa0;X86,Computer Security. ESORICS 2023 International Workshops,,,,10.1007/978-3-031-54129-2_21,Yuanding Zhou,2024,https://link.springer.com/chapter/10.1007/978-3-031-54129-2_21,Conference paper
Leveraging AI for&#xa0;Productive and&#xa0;Trustworthy HPC Software: Challenges and&#xa0;Research Directions,High Performance Computing,,,,10.1007/978-3-032-07612-0_47,Keita TeranishiHarshitha MenonWilliam F. GodoyPrasanna BalaprakashDavid BauTal Ben-NunAbhinav BhateleFranz FranchettiMichael FranusichTodd GamblinGiorgis GeorgakoudisTom GoldsteinArjun GuhaSteven E. HahnCostin IancuZheming JinTerry JonesTze-Meng LowHet MankadNarasinga Rao MiniskarMohammad Alaul Haque MonilDaniel NicholsKonstantinos ParasyrisSwaroop PophalePedro Valero-LaraJeffrey S. VetterSamuel WilliamsAaron Young,2026,https://link.springer.com/chapter/10.1007/978-3-032-07612-0_47,Conference paper
A Formal Modeling Language for&#xa0;Smart Contracts,Software Engineering and Formal Methods,,,,10.1007/978-3-031-77382-2_6,Adele VeschettiRichard BubelReiner Hähnle,2025,https://link.springer.com/chapter/10.1007/978-3-031-77382-2_6,Conference paper
"No Root, No Problem: Automating Linux Least Privilege and&#xa0;Securing Ansible Deployments",Computer Security – ESORICS 2025,,,,10.1007/978-3-032-07894-0_3,Eddie BilloirRomain LabordeDaniele CanaveseYves RütschléAhmad Samer WazanAbdelmalek Benzekri,2026,https://link.springer.com/chapter/10.1007/978-3-032-07894-0_3,Conference paper
Exploring AI and quantum computing synergies in holographic counterpart frameworks for IoT security and privacy,The Journal of Supercomputing,,,,10.1007/s11227-025-07682-0,Abdullah I. A. Alzahrani,2025,https://link.springer.com/article/10.1007/s11227-025-07682-0,Article
A survey on robustness attacks for deep code models,Automated Software Engineering,,,,10.1007/s10515-024-00464-7,Yubin QuSong HuangYongming Yao,2024,https://link.springer.com/article/10.1007/s10515-024-00464-7,Article
Learning to Expand: Dynamic Adaptive Monte-Carlo Tree Search for Code Generation,Advanced Intelligent Computing Technology and Applications,,,,10.1007/978-981-96-9994-0_20,Feng Ji,2025,https://link.springer.com/chapter/10.1007/978-981-96-9994-0_20,Conference paper
Quantum secure image encryption using hybrid QTRNG and QPRNG,Scientific Reports,,,,10.1038/s41598-026-35111-6,T. S. GururajaPadmapriya Pravinkumar,2026,https://link.springer.com/article/10.1038/s41598-026-35111-6,Article
<span>PragFormer</span>: Data-Driven Parallel Source Code Classification with Transformers,International Journal of Parallel Programming,,,,10.1007/s10766-024-00778-9,Re’em HarelTal KadoshNiranjan HasabnisTimothy MattsonYuval PinterGal Oren,2024,https://link.springer.com/article/10.1007/s10766-024-00778-9,Article
Cracking IoT security: can LLMs outsmart static analysis tools?,Empirical Software Engineering,,,,10.1007/s10664-026-10849-9,Jason QuantrillNoura KhajehnouriZihan GuoManar H. Alalfi,2026,https://link.springer.com/article/10.1007/s10664-026-10849-9,Article
Combining Loop Shuffling and&#xa0;Code PolyMorphism for&#xa0;Enhanced AES Side-Channel Security,Constructive Side-Channel Analysis and Secure Design,,,,10.1007/978-3-031-57543-3_14,Nicolas BellevilleLoïc Masure,2024,https://link.springer.com/chapter/10.1007/978-3-031-57543-3_14,Conference paper
Accelerator Design with High-Level Synthesis,Handbook of Computer Architecture,,,,10.1007/978-981-97-9314-3_19,Christian PilatoStephanie Soldavini,2025,https://link.springer.com/rwe/10.1007/978-981-97-9314-3_19,Reference work entry
Ultra-secure quantum protection for e-healthcare images: Hybrid chaotic one-time pad with cipher chaining encryption framework,Journal of King Saud University Computer and Information Sciences,,,,10.1007/s44443-025-00155-7,Roayat Ismail AbdelfatahReham Mohamed ElsobkySalah Aldeen Khamis,2025,https://link.springer.com/article/10.1007/s44443-025-00155-7,Article
Secure and efficient quantum signature scheme based on the controlled unitary operations encryption,Quantum Information Processing,,,,10.1007/s11128-025-04843-1,Debnath GhoshSoumit RoyPrithwi BagchiIndranil ChakrabartyAshok Kumar Das,2025,https://link.springer.com/article/10.1007/s11128-025-04843-1,Article
"Open Source Software Randomisation Framework for&#xa0;Probabilistic WCET Prediction on&#xa0;Multicore CPUs, GPUs and&#xa0;Accelerators","Embedded Computer Systems: Architectures, Modeling, and Simulation",,,,10.1007/978-3-031-78380-7_20,Leonidas KosmidisMatina Maria TrompoukiPau López CastillónEric Rufart BlascoJavier Fernandez SalgadoAndreas Jung,2025,https://link.springer.com/chapter/10.1007/978-3-031-78380-7_20,Conference paper
Compiler-based Attack Origin Tracking with&#xa0;Dynamic Taint Analysis,Information Security and Cryptology – ICISC 2021,,,,10.1007/978-3-031-08896-4_9,Oliver BraunsdorfStefan SessinghausJulian Horsch,2022,https://link.springer.com/chapter/10.1007/978-3-031-08896-4_9,Conference paper
Using ChatGPT for Converting Sequential Python Programs into Parallel Code,Advances in Dependable Systems and Networks,,,,10.1007/978-3-031-92734-8_5,Denny B. CzejdoWiktor B. DaszczukWaldemar Grabski,2025,https://link.springer.com/chapter/10.1007/978-3-031-92734-8_5,Conference paper
Explicitly Considering Real-Time Constraints,RTGPU: Real-Time Computing with Graphics Processing Units,,,,10.1007/978-3-032-11422-8_3,Atiyeh Gheibi-FetratSepideh SafariShaahin HessabiHamid Sarbazi-Azad,2026,https://link.springer.com/chapter/10.1007/978-3-032-11422-8_3,Chapter
NPDP Benchmark Suite for&#xa0;Loop Tiling Effectiveness Evaluation,Parallel Processing and Applied Mathematics,,,,10.1007/978-3-031-30445-3_5,Marek PalkowskiWlodzimierz Bielecki,2023,https://link.springer.com/chapter/10.1007/978-3-031-30445-3_5,Conference paper
When Obfuscations Preserve Constant-Time,"Languages, Compilers, Analysis - From Beautiful Theory to Useful Practice",,,,10.1007/978-3-032-08187-2_2,Matteo BusiPierpaolo DeganoLetterio Galletta,2026,https://link.springer.com/chapter/10.1007/978-3-032-08187-2_2,Chapter
Active multiplexing for scalable generation and manipulation of photonic quantum states,Nano Convergence,,,,10.1186/s40580-026-00540-6,Fumihiro KanedaMasahiro Yabuno,2026,https://link.springer.com/article/10.1186/s40580-026-00540-6,Article
WASMixer: Binary Obfuscation for&#xa0;WebAssembly,Computer Security – ESORICS 2024,,,,10.1007/978-3-031-70896-1_5,Shangtong CaoNingyu HeYao GuoHaoyu Wang,2024,https://link.springer.com/chapter/10.1007/978-3-031-70896-1_5,Conference paper
Iekkë: A SAT-Based Bounded-Round Verifier for Multi-Threaded Programs (Competition Contribution),Tools and Algorithms for the Construction and Analysis of Systems,,,,10.1007/978-3-032-22749-2_29,Paolo Di BiaseBernd FischerSalvatore La TorrePeter SchrammelGennaro Parlato,2026,https://link.springer.com/chapter/10.1007/978-3-032-22749-2_29,Conference paper
MinsC2Rust: LLM-driven project-level code migration from C to safe Rust,Empirical Software Engineering,,,,10.1007/s10664-026-10905-4,Zhehao KangQianyu ZhuWenrui MouBang WangXiaogang ZhangHaojun Huang,2026,https://link.springer.com/article/10.1007/s10664-026-10905-4,Article
Experimental Study of&#xa0;Binary Diffing Resilience on&#xa0;Obfuscated Programs,"Detection of Intrusions and Malware, and Vulnerability Assessment",,,,10.1007/978-3-031-97620-9_13,Roxane CohenRobin DavidRiccardo MoriFlorian YgerFabrice Rossi,2025,https://link.springer.com/chapter/10.1007/978-3-031-97620-9_13,Conference paper
FGSMS: Fine-Grained SM Scheduling for Efficient Deep Learning Computing,Advanced Intelligent Computing Technology and Applications,,,,10.1007/978-981-95-0006-2_43,Nanjian ZhouFan WuZhizhuo LiuChaonong Xu,2025,https://link.springer.com/chapter/10.1007/978-981-95-0006-2_43,Conference paper
A Parallel and&#xa0;Vectorized Implementation of&#xa0;the&#xa0;McCaskill Algorithm for&#xa0;X86-64 and&#xa0;RISC-V Architectures,Computational Science – ICCS 2026 Workshops,,,,10.1007/978-3-032-29915-4_48,Marek PalkowskiSergio IserteTomasz OlasMateusz GruzewskiRoman Wyrzykowski,2026,https://link.springer.com/chapter/10.1007/978-3-032-29915-4_48,Conference paper
Learning Type Inference for&#xa0;Enhanced Dataflow Analysis,Computer Security – ESORICS 2023,,,,10.1007/978-3-031-51482-1_10,Lukas SeidelSedick David Baker EffendiXavier PinhoKonrad RieckBrink van der MerweFabian Yamaguchi,2024,https://link.springer.com/chapter/10.1007/978-3-031-51482-1_10,Conference paper
B2SMatcher: fine-Grained version identification of open-Source software in binary files,Cybersecurity,,,,10.1186/s42400-021-00085-7,Gu BanLili XuYang XiaoXinhua LiZimu YuanWei Huo,2021,https://link.springer.com/article/10.1186/s42400-021-00085-7,Article
A Hypervisor Based Platform for the Development and Verification of Reliable Software Applications,"Embedded Computer Systems: Architectures, Modeling, and Simulation",,,,10.1007/978-3-031-78380-7_21,N. PetrellisM. MavropoulosV. KelefourasG. KeramidasK. RadonjicN. Voros,2025,https://link.springer.com/chapter/10.1007/978-3-031-78380-7_21,Conference paper
Employing Polyhedral Methods to&#xa0;Reduce Data Movement in&#xa0;FPGA Stencil Codes,Languages and Compilers for Parallel Computing,,,,10.1007/978-3-031-31445-2_4,Florian MayerJulian BrandnerMichael Philippsen,2023,https://link.springer.com/chapter/10.1007/978-3-031-31445-2_4,Conference paper
Protection of E-commerce Consumers’ Rights and Interests,Handbook of E-commerce in China,,,,10.1007/978-981-96-7629-3_18,Ronggang ZhangXiayuan Gao,2025,https://link.springer.com/rwe/10.1007/978-981-96-7629-3_18,Reference work entry
Distributing and&#xa0;Parallelizing Non-canonical Loops,"Verification, Model Checking, and Abstract Interpretation",,,,10.1007/978-3-031-24950-1_1,Clément AubertThomas RubianoNeea RuschThomas Seiller,2023,https://link.springer.com/chapter/10.1007/978-3-031-24950-1_1,Conference paper
Federated TinyML and digital twin framework for secure and resilient IoMT-based ICU monitoring,Scientific Reports,,,,10.1038/s41598-026-62561-9,Umar Hayat KhanRahim KhanTahani AlsaediSamia Allaoua ChellougFahad AlturiseSalem Alkhalaf,2026,https://link.springer.com/article/10.1038/s41598-026-62561-9,Article
IMPaSh: A Novel Domain-Shift Resistant Representation for&#xa0;Colorectal Cancer Tissue Classification,Computer Vision – ECCV 2022 Workshops,,,,10.1007/978-3-031-25066-8_31,Trinh Thi Le VuongQuoc Dang VuMostafa JahanifarSimon GrahamJin Tae KwakNasir Rajpoot,2023,https://link.springer.com/chapter/10.1007/978-3-031-25066-8_31,Conference paper
Semantics-Based Static Vulnerability Detection in&#xa0;Solidity Using Abstract Interpretation,Information Systems Security,,,,10.1007/978-3-031-80020-7_15,Maitri KushwahaArnab MukherjeeAishwarya PandeyRaju Halder,2025,https://link.springer.com/chapter/10.1007/978-3-031-80020-7_15,Conference paper
Exploring Composable Parallelism in Computational Modelling,Mathematical Models and Computer Simulations,,,,10.1134/S2070048224700923,V. BakhtinN. KataevA. KolganovD. ZakharovA. Smirnov,2024,https://link.springer.com/article/10.1134/S2070048224700923,Article
Big Data and Machine Learning at Istat,Foundations and Advances of Machine Learning in Official Statistics,,,,10.1007/978-3-032-10004-7_12,Mauro BrunoElena CataneseErika CerastiMassimo De CubellisFabrizio De FaustiMarco Di ZioGerarda GrippoGiuseppe LancioniGiulio MassacciStefano MugnoliFrancesco OrtameAngela PappagalloFrancesco PuglieseAlessandra RighiAlberto SabbiFrancesco SistiDonato SummaLuca Valentino,2025,https://link.springer.com/chapter/10.1007/978-3-032-10004-7_12,Chapter
A Securing the Data Using a Novel Security Algorithm S-RKB-22,Intelligent Sustainable Systems,,,,10.1007/978-981-99-8031-4_37,C. Bagath BashaS. RajaprakashV. SubapriyaK. KarthikJ. JagadeesanS. Sankar Ganesh,2024,https://link.springer.com/chapter/10.1007/978-981-99-8031-4_37,Conference paper
Hybrid Algorithm for&#xa0;Secure Key Generation Using Quantum Randomness Enhancement,"Dependable Computer Systems: Methods, Models, and Applications",,,,10.1007/978-3-032-27927-9_27,Paulina MuzajPiotr Sulikowski,2026,https://link.springer.com/chapter/10.1007/978-3-032-27927-9_27,Conference paper
Code Migrations and Refactoring,GitHub Copilot and AI Coding Tools in Practice,,,,10.1007/979-8-8688-1784-7_11,Nick Wienholt,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1784-7_11,Chapter
Load-and-Act: Increasing Page Coverage of&#xa0;Web Applications,Information Security,,,,10.1007/978-3-031-49187-0_9,Nico WeidmannThomas BarberChristian Wressnegger,2023,https://link.springer.com/chapter/10.1007/978-3-031-49187-0_9,Conference paper
RustMap: Towards Project-Scale C-to-Rust Migration via&#xa0;Program Analysis and&#xa0;LLM,Engineering of Complex Computer Systems,,,,10.1007/978-3-032-00828-2_16,Xuemeng CaiJiakun LiuXiping HuangYijun YuHaitao WuChunmiao LiBo WangImam Nur Bani YusufLingxiao Jiang,2026,https://link.springer.com/chapter/10.1007/978-3-032-00828-2_16,Conference paper
New Products Change the World and Companies,Industry 4.0 Compact – How Technologies Are Transforming Our Economy and Our Companies,,,,10.1007/978-3-658-51029-9_6,Walter Huber,2026,https://link.springer.com/chapter/10.1007/978-3-658-51029-9_6,Chapter
A Review of Compiler Optimization Techniques and Comparative Analysis for RISC-V Software Development,International Journal of Parallel Programming,,,,10.1007/s10766-026-00829-3,Maria AyubImran ShafiSajid Gul KhawajaTahir KhurshaidImran Ashraf,2026,https://link.springer.com/article/10.1007/s10766-026-00829-3,Article
Auto-CLOUDSC: An Auto-generation Framework for&#xa0;Vectorization and&#xa0;Optimization of&#xa0;Cloud Microphysics Parameterization on&#xa0;ARM CPUs,Algorithms and Architectures for Parallel Processing,,,,10.1007/978-981-95-8402-4_17,Tun ChenJianping WuYuntian ZhengYingjie WangFukang YinJinhui YangJuan ZhaoXiaoli Ren,2026,https://link.springer.com/chapter/10.1007/978-981-95-8402-4_17,Conference paper
Importance of advancing antifungal treatments: a focus on chitinases and glucanases in Candida therapy,Archives of Microbiology,,,,10.1007/s00203-025-04366-4,Aadarsh GhuryeKiran Kumar KolathurM. S. DivyashreeV. M. SubrahmanyamRaghu Chandrashekar Hariharapura,2025,https://link.springer.com/article/10.1007/s00203-025-04366-4,Article
Enhanced quantum image encryption using DNA–QTRNG and Sattolo-RQFT shuffling,The Journal of Supercomputing,,,,10.1007/s11227-025-07085-1,T. S. GururajaPadmapriya Pravinkumar,2025,https://link.springer.com/article/10.1007/s11227-025-07085-1,Article
Parallel Adjoint Taping Using MPI,Computational Science – ICCS 2023,,,,10.1007/978-3-031-35995-8_29,Markus TowaraJannick KremerUwe Naumann,2023,https://link.springer.com/chapter/10.1007/978-3-031-35995-8_29,Conference paper
Positioning and Securing of Containers,Containerized Cargo Handling and Stowage,,,,10.1007/978-3-031-63329-4_2,Alexander Arnfinn OlsenFidaa Karkori,2024,https://link.springer.com/chapter/10.1007/978-3-031-63329-4_2,Chapter
Enhancing Security in Distributed Computing Through Quantum Neural Network-Enabled Blockchain,Intelligent Computing and Optimization,,,,10.1007/978-3-031-73324-6_43,Qiu XiuliangAnand Singh RajawatS. B. GoyalRam Kumar Solanki,2024,https://link.springer.com/chapter/10.1007/978-3-031-73324-6_43,Conference paper
Identifying Obfuscated Code Through Graph-Based Semantic Analysis of&#xa0;Binary Code,Complex Networks & Their Applications XIII,,,,10.1007/978-3-031-82427-2_12,Roxane CohenRobin DavidFlorian YgerFabrice Rossi,2025,https://link.springer.com/chapter/10.1007/978-3-031-82427-2_12,Conference paper
"Smart hospitality using IoT enabled integrated face recognition, machine learning, and fuzzy AHP for analyzing customer satisfaction measurements",International Journal of Information Technology,,,,10.1007/s41870-024-02359-y,Anita MohantyAmbarish G. MohapatraPradyumna K. TripathyPrasanta Kumar BalAjaya K. TripathySasmita NayakSubrat K. MohantyBhagyalaxmi Jena,2024,https://link.springer.com/article/10.1007/s41870-024-02359-y,Article
Assessing Code Understanding in&#xa0;LLMs,"Formal Techniques for Distributed Objects, Components, and Systems",,,,10.1007/978-3-031-95497-9_13,C. LaneveA. SpanòD. RessiS. RossiM. Bugliesi,2025,https://link.springer.com/chapter/10.1007/978-3-031-95497-9_13,Conference paper
RIOT-ML: toolkit for over-the-air secure updates and performance evaluation of TinyML models,Annals of Telecommunications,,,,10.1007/s12243-024-01041-5,Zhaolan HuangKoen ZandbergKaspar SchleiserEmmanuel Baccelli,2024,https://link.springer.com/article/10.1007/s12243-024-01041-5,Article
"Integrating Quantum Computing into Intelligent Transportation Systems: A Comprehensive Review of Emerging Trends, Open Challenges, and Future Research Directions",Archives of Computational Methods in Engineering,,,,10.1007/s11831-026-10716-2,Pretom SarkarMahbub HassanAli Hanafiah RambeMuzammil Jusoh,2026,https://link.springer.com/article/10.1007/s11831-026-10716-2,Article
Semi-automated and&#xa0;Easily Interpretable Side-Channel Analysis for&#xa0;Modern JavaScript,Cryptology and Network Security,,,,10.1007/978-981-97-8016-7_2,Iliana FayolleJan WichelmannAnja KöhlWalter RudametkinThomas EisenbarthClémentine Maurice,2025,https://link.springer.com/chapter/10.1007/978-981-97-8016-7_2,Conference paper
Analyzing the influence of digitalization on labour market trends and social structures,Computational and Mathematical Organization Theory,,,,10.1007/s10588-026-09443-7,Beibei SunRobert Tian,2026,https://link.springer.com/article/10.1007/s10588-026-09443-7,Article
A survey of zero-knowledge proof based verifiable machine learning,Artificial Intelligence Review,,,,10.1007/s10462-026-11557-y,Zhizhi PengChonghe ZhaoTaotao WangGuofu LiaoZibin LinYifeng LiuBin CaoLong ShiQing YangShengli Zhang,2026,https://link.springer.com/article/10.1007/s10462-026-11557-y,Article
Port Impact Analysis and Economic Growth Strategy for the Archipelago Region in Maluku,Thalassas: An International Journal of Marine Sciences,,,,10.1007/s41208-026-01141-0,Hozairi HozairiMarcus TukanBilly J. Camerling,2026,https://link.springer.com/article/10.1007/s41208-026-01141-0,Article
Understanding code semantics: a benchmark study of LLMs,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-026-00842-4,Cosimo LaneveAlvise SpanòDalila RessiSabina RossiMichele Bugliesi,2026,https://link.springer.com/article/10.1007/s10009-026-00842-4,Article
From C to&#xa0;Rust: Evaluating LLM Capabilities in&#xa0;Transpilation Through Compilation Errors,High Performance Computing,,,,10.1007/978-3-032-07612-0_24,Andrea ValenzuelaMarta Gonzalez-MalloCristian GutierrezDario Garcia-GasullaGokcen KestorSara Royuela,2026,https://link.springer.com/chapter/10.1007/978-3-032-07612-0_24,Conference paper
Quantum Synthesis of&#xa0;Large S-Boxes: Heuristic and&#xa0;MILP-Based Transpiled-Depth Optimization,"Security, Privacy, and Applied Cryptography Engineering",,,,10.1007/978-3-032-16342-4_21,Tarun YadavShweta SinghSudha Yadav,2026,https://link.springer.com/chapter/10.1007/978-3-032-16342-4_21,Conference paper
PEAK: Generating High-Performance Schedules in&#xa0;MLIR,Languages and Compilers for Parallel Computing,,,,10.1007/978-3-032-02436-7_13,Amir Mohammad TavakkoliSameeran JoshiShreya SinghYufan XuP. SadayappanMary Hall,2026,https://link.springer.com/chapter/10.1007/978-3-032-02436-7_13,Conference paper
Composable Parallelism in&#xa0;Data Processing Tasks,Parallel Computational Technologies,,,,10.1007/978-3-032-22051-6_9,Vladimir BakhtinNikita KataevAlexander KolganovDmitry ZakharovAlexander SmirnovAnton Malahov,2026,https://link.springer.com/chapter/10.1007/978-3-032-22051-6_9,Conference paper
Advising OpenMP Parallelization via A Graph-Based Approach with Transformers,"OpenMP: Advanced Task-Based, Device and Compiler Programming",,,,10.1007/978-3-031-40744-4_1,Tal KadoshNadav SchneiderNiranjan HasabnisTimothy MattsonYuval PinterGal Oren,2023,https://link.springer.com/chapter/10.1007/978-3-031-40744-4_1,Conference paper
Towards an&#xa0;Approach to&#xa0;Semantic-Based Pattern Recognition in&#xa0;Source Code to&#xa0;Support HPC-Cloud Application Portability and&#xa0;HPC-Quantum Integration,Advanced Information Networking and Applications,,,,10.1007/978-3-032-23335-6_26,Beniamino Di MartinoVito Alessandro LiccardoDieter Kranzlmueller,2026,https://link.springer.com/chapter/10.1007/978-3-032-23335-6_26,Conference paper
Integrated IoT Solution for Electric Vehicle Charging Station System,Multi-disciplinary Trends in Artificial Intelligence,,,,10.1007/978-981-96-0692-4_4,Khuat Duc AnhDao Ba HoiPhan Thi Linh NganPhan Duy Hung,2025,https://link.springer.com/chapter/10.1007/978-981-96-0692-4_4,Conference paper
Securing the private smart home: lightweight digital certificates for resource-constrained IoT networks,Cluster Computing,,,,10.1007/s10586-025-05630-4,Apoorv BedmuthaA. AnjaliAditya Trivedi,2025,https://link.springer.com/article/10.1007/s10586-025-05630-4,Article
Advancing Interactive Parallelization: iCetus,International Journal of Parallel Programming,,,,10.1007/s10766-025-00795-2,Parinaz BarakhshanRudolf Eigenmann,2025,https://link.springer.com/article/10.1007/s10766-025-00795-2,Article
Assessment of Security Defense of Native Programs Against Software Faults,System Dependability and Analytics,,,,10.1007/978-3-031-02063-6_5,Keun Soo Yim,2023,https://link.springer.com/chapter/10.1007/978-3-031-02063-6_5,Chapter
Leveraging Large Language Models for MATLAB to Python Translation,"Computing, Internet of Things and Data Analytics",,,,10.1007/978-3-031-87154-2_49,Rocco Pietrini,2025,https://link.springer.com/chapter/10.1007/978-3-031-87154-2_49,Conference paper
