Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Source-to-source compilation targeting OpenMP-based automatic parallelization of C applications,The Journal of Supercomputing,,,,10.1007/s11227-019-03109-9,Hamid ArabnejadJoão BispoJoão M. P. CardosoJorge G. Barbosa,2019,https://link.springer.com/article/10.1007/s11227-019-03109-9,Article
An Optimizing Multi-platform Source-to-source Compiler Framework for the NEURON MODeling Language,Computational Science – ICCS 2020,,,,10.1007/978-3-030-50371-0_4,Pramod KumbharOmar AwileLiam KeeganJorge Blanco AlonsoJames KingMichael HinesFelix Schürmann,2020,https://link.springer.com/chapter/10.1007/978-3-030-50371-0_4,Conference paper
SSCCJ: System for Source to Source Conversion from C++ to Java for Efficient Computing in IoT Era,"Proceedings of International Conference on IoT Inclusive Life (ICIIL 2019), NITTTR Chandigarh, India",,,,10.1007/978-981-15-3020-3_35,Preeti BhattHarmunish TanejaKavita Taneja,2020,https://link.springer.com/chapter/10.1007/978-981-15-3020-3_35,Conference paper
"Source-to-Source Parallelization Compilers for Scientific Shared-Memory Multi-core and Accelerated Multiprocessing: Analysis, Pitfalls, Enhancement and Potential",International Journal of Parallel Programming,,,,10.1007/s10766-019-00640-3,Re’em HarelIdan MosseriHarel LevinLee-or AlonMatan RusanovskyGal Oren,2019,https://link.springer.com/article/10.1007/s10766-019-00640-3,Article
Performance Evaluation of Stencil Computations Based on Source-to-Source Transformations,High Performance Computing,,,,10.1007/978-3-030-16205-4_16,Víctor MartínezMatheus S. SerpaPablo J. PavanEdson Luiz PadoinPhilippe O. A. Navaux,2019,https://link.springer.com/chapter/10.1007/978-3-030-16205-4_16,Conference paper
ASSIST: An FDO Source-to-Source Transformation Tool for HPC Applications,Tools for High Performance Computing 2017,,,,10.1007/978-3-030-11987-4_3,Youenn LebrasAndres S. Charif RubialRomain DolbeauWilliam Jalby,2019,https://link.springer.com/chapter/10.1007/978-3-030-11987-4_3,Conference paper
LLVM Based Parallelization of C Programs for GPU,Supercomputing,,,,10.1007/978-3-030-64616-5_38,Nikita Kataev,2020,https://link.springer.com/chapter/10.1007/978-3-030-64616-5_38,Conference paper
ComPar: Optimized Multi-compiler for Automatic OpenMP S2S Parallelization,OpenMP: Portable Multi-Level Parallelism on Modern Systems,,,,10.1007/978-3-030-58144-2_16,Idan MosseriLee-Or AlonRe’Em HarelGal Oren,2020,https://link.springer.com/chapter/10.1007/978-3-030-58144-2_16,Conference paper
Verification and refutation of C programs based on <i>k</i>-induction and invariant inference,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-020-00564-1,Omar M. AlhawiHerbert RochaMikhail R. GadelhaLucas C. CordeiroEddie Batista,2020,https://link.springer.com/article/10.1007/s10009-020-00564-1,Article
RETRACTED ARTICLE: An efficient soft computing approach for securing information over GAMEOVER Zeus Botnets with modified CPA algorithm,Soft Computing,,,,10.1007/s00500-020-04956-y,S. AanjankumarS. Poonkuntran,2020,https://link.springer.com/article/10.1007/s00500-020-04956-y,Article
Introduction to TypeScript,Building Web Applications with .NET Core 2.1 and JavaScript,,,,10.1007/978-1-4842-5352-6_10,Philip JapikseKevin GrossnicklausBen Dewey,2020,https://link.springer.com/chapter/10.1007/978-1-4842-5352-6_10,Chapter
Abstracting Containerisation and Orchestration for Cloud-Native Applications,Cloud Computing – CLOUD 2020,,,,10.1007/978-3-030-59635-4_12,José Ghislain QuenumGervasius Ishuuwa,2020,https://link.springer.com/chapter/10.1007/978-3-030-59635-4_12,Conference paper
Security Vulnerabilities and Issues of Traditional Wireless Sensors Networks in IoT,Principles of Internet of Things (IoT) Ecosystem: Insight Paradigm,,,,10.1007/978-3-030-33596-0_21,Bhanu chanderKumaravelan Gopalakrishnan,2020,https://link.springer.com/chapter/10.1007/978-3-030-33596-0_21,Chapter
Automatic translation of data parallel programs for heterogeneous parallelism through OpenMP offloading,The Journal of Supercomputing,,,,10.1007/s11227-020-03452-2,Farui WangWeizhe ZhangHaonan GuoMeng HaoGangzhao LuZheng Wang,2020,https://link.springer.com/article/10.1007/s11227-020-03452-2,Article
Detection of Security Vulnerabilities in C Code Using Runtime Verification: An Experience Report,Tests and Proofs,,,,10.1007/978-3-319-92994-1_8,Kostyantyn VorobyovNikolai KosmatovJulien Signoles,2018,https://link.springer.com/chapter/10.1007/978-3-319-92994-1_8,Conference paper
Parallel programming models for heterogeneous many-cores: a comprehensive survey,CCF Transactions on High Performance Computing,,,,10.1007/s42514-020-00039-4,Jianbin FangChun HuangTao TangZheng Wang,2020,https://link.springer.com/article/10.1007/s42514-020-00039-4,Article
FLY: A Domain-Specific Language for Scientific Computing on FaaS,Euro-Par 2019: Parallel Processing Workshops,,,,10.1007/978-3-030-48340-1_41,Gennaro CordascoMatteo D’AuriaAlberto NegroVittorio ScaranoCarmine Spagnuolo,2020,https://link.springer.com/chapter/10.1007/978-3-030-48340-1_41,Conference paper
Data Security Algorithm Using Circular Queue and Graycode,Proceedings of ICETIT 2019,,,,10.1007/978-3-030-30577-2_88,K. A. SumayyaJisha P. Abraham,2020,https://link.springer.com/chapter/10.1007/978-3-030-30577-2_88,Conference paper
On how the ergodic assumption influences seismic risk,Bulletin of Earthquake Engineering,,,,10.1007/s10518-020-00992-z,Zehra Çağnan,2020,https://link.springer.com/article/10.1007/s10518-020-00992-z,Article
Obfuscated integration of software protections,International Journal of Information Security,,,,10.1007/s10207-020-00494-8,Jens Van den BroeckBart CoppensBjorn De Sutter,2020,https://link.springer.com/article/10.1007/s10207-020-00494-8,Article
BinderAnn: Automated Reification of Source Annotations for Monadic EDSLs,Trends in Functional Programming,,,,10.1007/978-3-030-57761-2_2,Agustín MistaAlejandro Russo,2020,https://link.springer.com/chapter/10.1007/978-3-030-57761-2_2,Conference paper
Data Transfer and Reuse Analysis Tool for GPU-Offloading Using OpenMP,OpenMP: Portable Multi-Level Parallelism on Modern Systems,,,,10.1007/978-3-030-58144-2_18,Alok MishraAbid M. MalikBarbara Chapman,2020,https://link.springer.com/chapter/10.1007/978-3-030-58144-2_18,Conference paper
Pure Functions in C: A Small Keyword for Automatic Parallelization,International Journal of Parallel Programming,,,,10.1007/s10766-020-00660-4,Tim SüßLars NagelMarc-André VefAndré BrinkmannDustin FeldThomas Soddemann,2020,https://link.springer.com/article/10.1007/s10766-020-00660-4,Article
Information Flow Security Certification for SPARK Programs,Data and Applications Security and Privacy XXXIV,,,,10.1007/978-3-030-49669-2_8,Sandip GhosalR. K. Shyamasundar,2020,https://link.springer.com/chapter/10.1007/978-3-030-49669-2_8,Conference paper
Transpiling Python to Rust for Optimized Performance,"Embedded Computer Systems: Architectures, Modeling, and Simulation",,,,10.1007/978-3-030-60939-9_9,Henri LunnikiviKai JylkkäTimo Hämäläinen,2020,https://link.springer.com/chapter/10.1007/978-3-030-60939-9_9,Conference paper
Tornado: Automatic Generation of&#xa0;Probing-Secure Masked Bitsliced Implementations,Advances in Cryptology – EUROCRYPT 2020,,,,10.1007/978-3-030-45727-3_11,Sonia BelaïdPierre-Évariste DagandDarius MercadierMatthieu RivainRaphaël Wintersdorff,2020,https://link.springer.com/chapter/10.1007/978-3-030-45727-3_11,Conference paper
Technical Debt Management and Energy Consumption Evaluation in Implantable Medical Devices: The SDK4ED Approach,"Embedded Computer Systems: Architectures, Modeling, and Simulation",,,,10.1007/978-3-030-60939-9_25,Charalampos MarantosAngeliki-Agathi TsintziraLazaros PapadopoulosApostolos AmpatzoglouAlexander ChatzigeorgiouDimitrios Soudris,2020,https://link.springer.com/chapter/10.1007/978-3-030-60939-9_25,Conference paper
Simplifying and implementing service level objectives for stream parallelism,The Journal of Supercomputing,,,,10.1007/s11227-019-02914-6,Dalvan GrieblerAdriano VogelDaniele De SensiMarco DaneluttoLuiz G. Fernandes,2019,https://link.springer.com/article/10.1007/s11227-019-02914-6,Article
LLVM-based Hybrid Fuzzing with LibKluzzer (Competition Contribution),Fundamental Approaches to Software Engineering,,,,10.1007/978-3-030-45234-6_29,Hoang M. Le,2020,https://link.springer.com/chapter/10.1007/978-3-030-45234-6_29,Conference paper
Uncovering Information Flow Policy Violations in C Programs (Extended Abstract),Computer Security – ESORICS 2019,,,,10.1007/978-3-030-29962-0_2,Darion CasselYan HuangLimin Jia,2019,https://link.springer.com/chapter/10.1007/978-3-030-29962-0_2,Conference paper
OpenMP Device Offloading to FPGAs Using the Nymble Infrastructure,OpenMP: Portable Multi-Level Parallelism on Modern Systems,,,,10.1007/978-3-030-58144-2_17,Jens HuthmannLukas SommerArtur PodobasAndreas KochKentaro Sano,2020,https://link.springer.com/chapter/10.1007/978-3-030-58144-2_17,Conference paper
A competitive analysis of EU ports by fixing spatial and economic dimensions,Journal of Shipping and Trade,,,,10.1186/s41072-020-00075-x,Claudio QuintanoPaolo MazzocchiAntonella Rocca,2020,https://link.springer.com/article/10.1186/s41072-020-00075-x,Article
High-Performance Computing for Earth System Modeling,High Performance Computing for Geospatial Applications,,,,10.1007/978-3-030-47998-5_10,Dali WangFengming Yuan,2020,https://link.springer.com/chapter/10.1007/978-3-030-47998-5_10,Chapter
Pragma-Controlled Source-to-Source Code Transformations for Robust Application Execution,Euro-Par 2016: Parallel Processing Workshops,,,,10.1007/978-3-319-58943-5_53,Pedro C. DinizChunhua LiaoDaniel J. QuinlanRobert F. Lucas,2017,https://link.springer.com/chapter/10.1007/978-3-319-58943-5_53,Conference paper
Map2Check: Using Symbolic Execution and Fuzzing,Tools and Algorithms for the Construction and Analysis of Systems,,,,10.1007/978-3-030-45237-7_29,Herbert RochaRafael MenezesLucas C. CordeiroRaimundo Barreto,2020,https://link.springer.com/chapter/10.1007/978-3-030-45237-7_29,Conference paper
Innovative Automation Algorithm in Micro-multinational Data-Entry Industry,Cyber Security and Computer Science,,,,10.1007/978-3-030-52856-0_54,Nuruzzaman FaruquiMohammad Abu YousufPartha ChakrabortyMd. Safaet Hossain,2020,https://link.springer.com/chapter/10.1007/978-3-030-52856-0_54,Conference paper
Experimental study on the behavior of waste marble powder as partial replacement of sand in concrete,SN Applied Sciences,,,,10.1007/s42452-020-03349-y,Abdul GhaniZeeshan AliFasih Ahmed KhanSaid Rehan ShahSajjad Wali KhanMuhammad Rashid,2020,https://link.springer.com/article/10.1007/s42452-020-03349-y,Article
Learning to Generate Novel Domains for Domain Generalization,Computer Vision – ECCV 2020,,,,10.1007/978-3-030-58517-4_33,Kaiyang ZhouYongxin YangTimothy HospedalesTao Xiang,2020,https://link.springer.com/chapter/10.1007/978-3-030-58517-4_33,Conference paper
Optimizing Memory Bandwidth Efficiency with User-Preferred Kernel Merge,Euro-Par 2019: Parallel Processing Workshops,,,,10.1007/978-3-030-48340-1_6,Nabeeh JumahJulian Kunkel,2020,https://link.springer.com/chapter/10.1007/978-3-030-48340-1_6,Conference paper
Efficient code development for improving execution performance in high-performance computing centers,The Journal of Supercomputing,,,,10.1007/s11227-020-03382-z,Javier Corral-GarcíaFelipe Lemus-PrietoMiguel-Ángel Pérez-Toledano,2020,https://link.springer.com/article/10.1007/s11227-020-03382-z,Article
A Method to Enhance the Security Capability of Python IDE,Future Data and Security Engineering,,,,10.1007/978-3-030-35653-8_27,Vinh PhamNamuk KimEunil SeoJun Suk HaTai-Myoung Chung,2019,https://link.springer.com/chapter/10.1007/978-3-030-35653-8_27,Conference paper
GPU Support for Automatic Generation of Finite-Differences Stencil Kernels,High Performance Computing,,,,10.1007/978-3-030-41005-6_16,Vitor Hugo Mickus RodriguesLucas CavalcanteMaelso Bruno PereiraFabio LuporiniIstván RegulyGerard GormanSamuel Xavier de Souza,2020,https://link.springer.com/chapter/10.1007/978-3-030-41005-6_16,Conference paper
AceMesh: a structured data driven programming language for high performance computing,CCF Transactions on High Performance Computing,,,,10.1007/s42514-020-00047-4,Li ChenShenglin TangYou FuXiran GaoJie GuoShangzhi Jiang,2020,https://link.springer.com/article/10.1007/s42514-020-00047-4,Article
Using OpenMP to Detect and Speculate Dynamic DOALL Loops,OpenMP: Portable Multi-Level Parallelism on Modern Systems,,,,10.1007/978-3-030-58144-2_15,Bruno Chinelato HonorioJoão P. L. de CarvalhoMunir SkafGuido Araujo,2020,https://link.springer.com/chapter/10.1007/978-3-030-58144-2_15,Conference paper
Pattern-Aware Staging for Hybrid Memory Systems,High Performance Computing,,,,10.1007/978-3-030-50743-5_24,Eishi ArimaMartin Schulz,2020,https://link.springer.com/chapter/10.1007/978-3-030-50743-5_24,Conference paper
"Short-term exposure to air pollution and occurrence of emergency stroke in Chongqing, China",International Archives of Occupational and Environmental Health,,,,10.1007/s00420-020-01557-y,Caizhi TangYu ChenQiaoling SongJianfei MaYing ZhouLiang GongXingshu ChenJifu QuYongjun Luo,2020,https://link.springer.com/article/10.1007/s00420-020-01557-y,Article
"Assessment of the Quality of Drinking Water Sources and Human Health in a Rural Area of Solan, North India",MAPAN,,,,10.1007/s12647-019-00354-4,N. SinghM. Sharma,2019,https://link.springer.com/article/10.1007/s12647-019-00354-4,Article
"Metagenomic applications in microbial diversity, bioremediation, pollution monitoring, enzyme and drug discovery. A review",Environmental Chemistry Letters,,,,10.1007/s10311-020-01010-z,Saptashwa DattaK. Narayanan RajnishMelvin S. SamuelArivalagan PugazlendhiEthiraj Selvarajan,2020,https://link.springer.com/article/10.1007/s10311-020-01010-z,Article
29th Annual Computational Neuroscience Meeting: CNS*2020,BMC Neuroscience,,,,10.1186/s12868-020-00593-1,,2020,https://link.springer.com/article/10.1186/s12868-020-00593-1,Article
Global Population Growth and Industrial Impact on the Environment,Cleaner Production,,,,10.1007/978-3-030-23165-1_3,Francisco José Gomes da SilvaRonny Miguel Gouveia,2020,https://link.springer.com/chapter/10.1007/978-3-030-23165-1_3,Chapter
Parallel Stream Processing with MPI for Video Analytics and Data Visualization,High Performance Computing Systems,,,,10.1007/978-3-030-41050-6_7,Adriano VogelCassiano RistaGabriel JustoEndrius EwaldDalvan GrieblerGabriele MencagliLuiz Gustavo Fernandes,2020,https://link.springer.com/chapter/10.1007/978-3-030-41050-6_7,Conference paper
REFINITY to Model and Prove Program Transformation Rules,Programming Languages and Systems,,,,10.1007/978-3-030-64437-6_16,Dominic Steinhöfel,2020,https://link.springer.com/chapter/10.1007/978-3-030-64437-6_16,Conference paper
Refactoring GrPPI: Generic Refactoring for Generic Parallelism in C++,International Journal of Parallel Programming,,,,10.1007/s10766-020-00667-x,Christopher BrownVladimir JanjicAdam D. BarwellJ. Daniel GarciaKenneth MacKenzie,2020,https://link.springer.com/article/10.1007/s10766-020-00667-x,Article
HPC-Smart Infrastructures: A Review and Outlook on Performance Analysis Methods and Tools,Smart Infrastructure and Applications,,,,10.1007/978-3-030-13705-2_18,Thaha MuhammedRashid MehmoodAiiad AlbeshriFawaz Alsolami,2020,https://link.springer.com/chapter/10.1007/978-3-030-13705-2_18,Chapter
